iter	Passed	Remaining
0	0	48
1	0	44
2	1	43
3	1	38
4	2	38
5	2	39
6	2	38
7	3	38
8	3	37
9	4	37
10	4	36
11	4	36
12	5	35
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	33
19	8	32
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	30
26	10	29
27	11	29
28	11	28
29	12	28
30	12	28
31	13	29
32	14	28
33	14	28
34	15	28
35	15	27
36	16	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	20	22
47	20	22
48	20	21
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	24	18
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	29	13
68	29	13
69	30	13
70	30	12
71	31	12
72	31	11
73	32	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	43	0
99	44	0
