iter	Passed	Remaining
0	54	54268
1	55	27500
2	62	20934
3	63	15853
4	73	14555
5	73	12228
6	75	10653
7	75	9392
8	76	8402
9	76	7604
10	77	6956
11	78	6429
12	78	5976
13	79	5589
14	79	5247
15	80	4960
16	81	4700
17	81	4463
18	82	4252
19	82	4065
20	83	3895
21	84	3739
22	84	3597
23	85	3465
24	85	3345
25	86	3231
26	86	3128
27	87	3034
28	87	2943
29	88	2858
30	88	2778
31	89	2705
32	90	2638
33	90	2574
34	91	2513
35	91	2458
36	92	2404
37	93	2359
38	93	2315
39	94	2270
40	95	2224
41	95	2183
42	96	2144
43	97	2111
44	97	2075
45	98	2042
46	99	2008
47	99	1977
48	100	1946
49	100	1916
50	101	1888
51	104	1897
52	105	1887
53	106	1860
54	133	2290
55	133	2257
56	134	2227
57	135	2197
58	136	2169
59	136	2142
60	138	2127
61	139	2103
62	139	2079
63	140	2055
64	141	2033
65	141	2008
66	143	1993
67	143	1970
68	144	1947
69	144	1925
70	145	1902
71	145	1880
72	146	1859
73	146	1839
74	147	1819
75	148	1800
76	148	1782
77	149	1769
78	150	1753
79	151	1740
80	152	1734
81	153	1720
82	153	1700
83	154	1686
84	155	1671
85	156	1661
86	156	1646
87	157	1631
88	158	1617
89	158	1602
90	158	1587
91	159	1574
92	159	1560
93	160	1547
94	161	1535
95	162	1527
96	162	1513
97	163	1501
98	163	1489
99	164	1478
100	164	1467
101	165	1455
102	165	1444
103	166	1435
104	168	1433
105	168	1423
106	169	1413
107	169	1402
108	170	1392
109	170	1381
110	171	1371
111	171	1361
112	172	1352
113	172	1343
114	173	1335
115	174	1328
116	175	1325
117	176	1319
118	177	1310
119	177	1302
120	178	1293
121	178	1283
122	178	1274
123	179	1266
124	179	1258
125	180	1250
126	180	1241
127	181	1233
128	181	1226
129	182	1218
130	182	1211
131	183	1203
132	183	1195
133	184	1189
134	184	1183
135	185	1177
136	186	1174
137	187	1170
138	188	1166
139	189	1161
140	189	1157
141	190	1149
142	190	1143
143	191	1138
144	192	1132
145	192	1126
146	193	1121
147	193	1115
148	194	1109
149	194	1104
150	195	1098
151	196	1094
152	196	1089
153	197	1085
154	198	1080
155	198	1074
156	199	1069
157	199	1063
158	200	1058
159	200	1053
160	200	1046
161	201	1041
162	201	1036
163	202	1031
164	202	1026
165	203	1021
166	204	1018
167	204	1014
168	205	1012
169	206	1007
170	207	1004
171	207	1000
172	208	998
173	209	994
174	210	990
175	210	986
176	211	983
177	211	978
178	212	974
179	212	970
180	213	965
181	214	962
182	215	961
183	216	958
184	216	954
185	217	950
186	217	945
187	218	941
188	218	937
189	219	934
190	220	934
191	221	931
192	221	927
193	222	924
194	223	921
195	223	917
196	224	914
197	225	913
198	226	910
199	226	906
200	227	902
201	227	898
202	227	895
203	228	891
204	229	888
205	229	885
206	230	881
207	230	877
208	231	874
209	231	871
210	232	868
211	232	865
212	233	862
213	234	860
214	234	857
215	235	855
216	236	853
217	237	851
218	237	847
219	238	844
220	238	841
221	239	838
222	239	835
223	240	832
224	240	828
225	241	825
226	241	823
227	242	819
228	242	816
229	244	818
230	245	816
231	246	815
232	247	813
233	247	811
234	248	808
235	249	806
236	249	803
237	250	800
238	250	798
239	251	795
240	251	792
241	252	789
242	252	787
243	253	784
244	253	781
245	254	779
246	255	777
247	255	776
248	256	774
249	257	772
250	258	770
251	258	768
252	259	766
253	260	763
254	260	761
255	261	758
256	261	756
257	262	754
258	262	751
259	263	749
260	263	746
261	264	744
262	264	741
263	265	739
264	265	736
265	266	734
266	266	731
267	267	729
268	267	727
269	268	724
270	268	722
271	269	721
272	270	719
273	270	717
274	271	715
275	271	713
276	272	710
277	272	708
278	273	706
279	273	704
280	274	702
281	275	700
282	275	698
283	276	696
284	276	693
285	277	691
286	277	689
287	277	687
288	278	685
289	278	682
290	279	681
291	280	679
292	281	678
293	281	676
294	282	674
295	282	672
296	283	670
297	283	668
298	284	666
299	284	664
300	285	662
301	285	660
302	286	658
303	286	655
304	286	653
305	287	651
306	287	649
307	288	648
308	288	646
309	289	644
310	289	642
311	290	640
312	290	638
313	291	636
314	291	634
315	292	632
316	292	630
317	293	629
318	294	628
319	294	626
320	295	624
321	295	622
322	295	620
323	296	618
324	296	616
325	297	614
326	297	613
327	298	611
328	298	609
329	299	607
330	299	606
331	300	604
332	300	602
333	301	600
334	301	599
335	303	598
336	303	597
337	304	595
338	305	594
339	306	594
340	306	592
341	307	591
342	307	589
343	308	587
344	308	586
345	309	584
346	310	583
347	310	581
348	310	580
349	311	578
350	311	576
351	312	575
352	312	573
353	313	571
354	313	570
355	314	568
356	314	566
357	315	565
358	315	563
359	316	562
360	317	561
361	317	559
362	318	558
363	318	557
364	319	555
365	320	554
366	320	553
367	321	552
368	322	551
369	322	549
370	323	548
371	324	547
372	324	545
373	324	543
374	325	542
375	325	540
376	326	539
377	326	537
378	327	536
379	327	534
380	328	533
381	328	532
382	329	530
383	330	529
384	331	528
385	331	527
386	332	526
387	332	524
388	333	523
389	333	522
390	334	521
391	335	520
392	335	518
393	336	517
394	337	516
395	337	514
396	337	513
397	338	511
398	338	510
399	339	509
400	339	507
401	341	507
402	342	507
403	342	505
404	343	504
405	344	504
406	345	502
407	345	501
408	346	500
409	346	498
410	347	497
411	347	496
412	348	494
413	348	493
414	349	492
415	349	490
416	350	489
417	350	488
418	351	486
419	351	485
420	352	485
421	353	484
422	354	483
423	355	482
424	356	481
425	356	480
426	357	479
427	357	477
428	357	476
429	358	475
430	358	473
431	359	472
432	359	471
433	360	469
434	360	468
435	361	467
436	361	466
437	362	464
438	362	463
439	363	462
440	363	461
441	364	459
442	364	458
443	365	457
444	366	456
445	367	456
446	367	454
447	368	453
448	368	452
449	369	451
450	370	450
451	370	449
452	371	448
453	371	447
454	372	445
455	372	444
456	373	443
457	373	442
458	374	440
459	374	439
460	375	438
461	375	437
462	375	436
463	376	434
464	377	433
465	377	432
466	378	431
467	378	430
468	379	429
469	379	428
470	380	427
471	381	426
472	381	425
473	382	424
474	382	423
475	383	421
476	383	420
477	384	419
478	384	418
479	385	417
480	385	415
481	385	414
482	386	413
483	387	412
484	387	411
485	388	410
486	388	409
487	389	408
488	389	407
489	390	406
490	390	404
491	391	404
492	392	403
493	392	402
494	394	401
495	394	401
496	395	399
497	395	398
498	396	397
499	397	397
500	397	396
501	398	395
502	399	394
503	399	393
504	400	392
505	400	391
506	402	391
507	403	390
508	403	389
509	405	389
510	405	388
511	406	387
512	407	386
513	408	385
514	408	384
515	409	383
516	409	382
517	410	382
518	411	381
519	411	380
520	412	379
521	413	378
522	414	377
523	415	376
524	415	376
525	416	375
526	417	374
527	420	376
528	421	375
529	422	374
530	423	373
531	423	372
532	424	372
533	425	371
534	425	370
535	426	369
536	428	369
537	428	368
538	429	367
539	430	366
540	431	365
541	431	364
542	432	364
543	433	363
544	434	362
545	434	361
546	435	360
547	436	360
548	437	359
549	438	358
550	439	358
551	440	357
552	441	356
553	441	355
554	442	354
555	442	353
556	443	352
557	443	351
558	444	350
559	444	349
560	445	348
561	445	347
562	446	346
563	446	345
564	446	344
565	447	343
566	448	342
567	449	341
568	455	345
569	457	345
570	466	350
571	466	349
572	467	348
573	468	347
574	469	346
575	469	345
576	470	345
577	471	344
578	471	343
579	472	342
580	472	341
581	473	340
582	474	339
583	475	338
584	476	337
585	477	337
586	477	336
587	481	337
588	482	336
589	483	335
590	484	335
591	485	334
592	488	335
593	489	334
